timestamp,do_mg_L,voltage
2025-05-09 17:08:28,0,0.001
2025-05-09 17:08:18,0,0.001
2025-05-09 17:08:08,0,0.001
2025-05-09 17:07:57,0,0
2025-05-09 17:07:47,0,0.001
2025-05-09 17:07:37,0,0.001
2025-05-09 17:07:26,0,0
2025-05-09 17:07:16,0,0.001
2025-05-09 17:07:05,0,0
2025-05-09 17:06:38,13.16,1.879
2025-05-09 16:47:42,0,0
2025-05-09 16:47:32,0,0.001
2025-05-09 16:47:20,13.29,1.899
2025-05-09 16:44:26,9.7,0.001
2025-05-09 16:44:16,9.8,0
2025-05-09 16:44:05,11.2,0.001
2025-05-09 16:43:55,11,0.001
2025-05-09 16:43:44,11.2,0.001
2025-05-09 16:43:34,11.5,0
2025-05-09 16:43:24,11.7,0.001
2025-05-09 16:43:13,11.8,0
2025-05-09 16:42:58,12,0.001
2025-05-09 16:42:48,12.2,0
2025-05-09 16:42:37,13.3,1.9